"order","pick","active_team","hero_id","player_slot","extra_time","total_time_taken","match_id","leagueid"
7.0,False,3.0,240.0,"",122.0,0.0,8013614272,17199
8.0,False,3.0,196.0,"",122.0,0.0,8013614272,17199
9.0,False,3.0,96.0,"",122.0,0.0,8013614272,17199
10.0,False,3.0,258.0,"",122.0,0.0,8013614272,17199
11.0,True,3.0,200.0,4.0,122.0,0.0,8013614272,17199
12.0,True,3.0,30.0,0.0,122.0,0.0,8013614272,17199
13.0,True,3.0,198.0,9.0,122.0,0.0,8013614272,17199
14.0,True,3.0,238.0,8.0,122.0,0.0,8013614272,17199
15.0,True,3.0,90.0,5.0,99.0,73.0,8013614272,17199
16.0,True,2.0,52.0,3.0,65.0,64.0,8013614272,17199
17.0,True,2.0,270.0,1.0,71.0,8.0,8013614272,17199
18.0,True,3.0,98.0,6.0,46.0,55.0,8013614272,17199
19.0,False,3.0,34.0,"",65.0,42.0,8013614272,17199
20.0,False,2.0,148.0,"",65.0,6.0,8013614272,17199
21.0,False,2.0,228.0,"",34.0,68.0,8013614272,17199
22.0,False,3.0,212.0,"",28.0,36.0,8013614272,17199
23.0,True,3.0,214.0,7.0,26.0,2.0,8013614272,17199
24.0,True,2.0,78.0,2.0,26.0,4.0,8013614272,17199
1.0,False,3.0,224.0,"",130.0,60.0,8013614726,17233
2.0,False,2.0,146.0,"",130.0,8.0,8013614726,17233
3.0,False,2.0,158.0,"",90.0,3.0,8013614726,17233
4.0,False,3.0,42.0,"",130.0,62.0,8013614726,17233
5.0,False,2.0,4.0,"",130.0,12.0,8013614726,17233
6.0,False,2.0,220.0,"",47.0,2.0,8013614726,17233
7.0,False,3.0,252.0,"",47.0,2.0,8013614726,17233
8.0,True,3.0,10.0,9.0,130.0,1.0,8013614726,17233
9.0,True,2.0,238.0,3.0,47.0,15.0,8013614726,17233
10.0,False,3.0,184.0,"",28.0,49.0,8013614726,17233
11.0,False,3.0,80.0,"",130.0,1.0,8013614726,17233
12.0,False,2.0,270.0,"",130.0,17.0,8013614726,17233
13.0,True,2.0,52.0,2.0,28.0,18.0,8013614726,17233
14.0,True,3.0,28.0,7.0,28.0,7.0,8013614726,17233
15.0,True,3.0,76.0,8.0,130.0,1.0,8013614726,17233
16.0,True,2.0,20.0,0.0,130.0,26.0,8013614726,17233
17.0,True,2.0,258.0,1.0,28.0,16.0,8013614726,17233
18.0,True,3.0,78.0,6.0,28.0,3.0,8013614726,17233
19.0,False,3.0,40.0,"",130.0,1.0,8013614726,17233
20.0,False,2.0,272.0,"",130.0,14.0,8013614726,17233
21.0,False,2.0,12.0,"",28.0,1.0,8013614726,17233
22.0,False,3.0,210.0,"",28.0,3.0,8013614726,17233
23.0,True,3.0,92.0,5.0,130.0,25.0,8013614726,17233
24.0,True,2.0,26.0,4.0,130.0,3.0,8013614726,17233
1.0,False,3.0,224.0,"",130.0,5.0,8013619315,16313
2.0,False,3.0,172.0,"",130.0,7.0,8013619315,16313
3.0,False,3.0,142.0,"",130.0,2.0,8013619315,16313
4.0,False,2.0,74.0,"",130.0,27.0,8013619315,16313
5.0,False,3.0,116.0,"",130.0,10.0,8013619315,16313
6.0,False,3.0,22.0,"",124.0,1.0,8013619315,16313
7.0,False,2.0,274.0,"",113.0,31.0,8013619315,16313
8.0,True,2.0,194.0,1.0,130.0,1.0,8013619315,16313
9.0,True,3.0,46.0,6.0,113.0,8.0,8013619315,16313
10.0,False,2.0,228.0,"",113.0,27.0,8013619315,16313
11.0,False,2.0,108.0,"",130.0,1.0,8013619315,16313
12.0,False,3.0,126.0,"",130.0,7.0,8013619315,16313
13.0,True,3.0,100.0,9.0,113.0,12.0,8013619315,16313
14.0,True,2.0,150.0,2.0,113.0,21.0,8013619315,16313
15.0,True,2.0,168.0,3.0,130.0,8.0,8013619315,16313
16.0,True,3.0,208.0,7.0,130.0,17.0,8013619315,16313
17.0,True,3.0,92.0,8.0,113.0,19.0,8013619315,16313
18.0,True,2.0,240.0,0.0,113.0,30.0,8013619315,16313
19.0,False,2.0,98.0,"",130.0,20.0,8013619315,16313
20.0,False,3.0,84.0,"",130.0,8.0,8013619315,16313
21.0,False,3.0,82.0,"",113.0,2.0,8013619315,16313
22.0,False,2.0,152.0,"",113.0,2.0,8013619315,16313
23.0,True,2.0,36.0,4.0,130.0,20.0,8013619315,16313
24.0,True,3.0,104.0,5.0,130.0,3.0,8013619315,16313
1.0,False,3.0,224.0,"",130.0,2.0,8013644152,17233
2.0,False,3.0,220.0,"",130.0,3.0,8013644152,17233
3.0,False,3.0,158.0,"",130.0,3.0,8013644152,17233
4.0,False,2.0,42.0,"",130.0,1.0,8013644152,17233
5.0,False,3.0,146.0,"",130.0,2.0,8013644152,17233
6.0,False,3.0,4.0,"",130.0,2.0,8013644152,17233
7.0,False,2.0,252.0,"",130.0,1.0,8013644152,17233
8.0,True,2.0,10.0,3.0,130.0,2.0,8013644152,17233
9.0,True,3.0,22.0,5.0,130.0,2.0,8013644152,17233
10.0,False,2.0,184.0,"",130.0,1.0,8013644152,17233
11.0,False,2.0,80.0,"",130.0,1.0,8013644152,17233
12.0,False,3.0,198.0,"",130.0,2.0,8013644152,17233
13.0,True,3.0,174.0,9.0,130.0,18.0,8013644152,17233
14.0,True,2.0,172.0,1.0,130.0,9.0,8013644152,17233
15.0,True,2.0,240.0,4.0,130.0,1.0,8013644152,17233
16.0,True,3.0,38.0,7.0,130.0,22.0,8013644152,17233
17.0,True,3.0,154.0,6.0,130.0,17.0,8013644152,17233
18.0,True,2.0,34.0,2.0,130.0,1.0,8013644152,17233
19.0,False,2.0,40.0,"",130.0,1.0,8013644152,17233
20.0,False,3.0,228.0,"",130.0,5.0,8013644152,17233
21.0,False,3.0,36.0,"",130.0,9.0,8013644152,17233
22.0,False,2.0,210.0,"",130.0,0.0,8013644152,17233
23.0,True,2.0,20.0,0.0,130.0,2.0,8013644152,17233
24.0,True,3.0,212.0,8.0,110.0,50.0,8013644152,17233
1.0,False,3.0,56.0,"",130.0,7.0,8013644482,16313
2.0,False,3.0,224.0,"",130.0,10.0,8013644482,16313
3.0,False,3.0,74.0,"",130.0,1.0,8013644482,16313
4.0,False,2.0,116.0,"",130.0,39.0,8013644482,16313
5.0,False,3.0,172.0,"",130.0,7.0,8013644482,16313
6.0,False,3.0,274.0,"",111.0,1.0,8013644482,16313
7.0,False,2.0,142.0,"",111.0,9.0,8013644482,16313
8.0,True,2.0,130.0,1.0,130.0,26.0,8013644482,16313
9.0,True,3.0,100.0,9.0,111.0,19.0,8013644482,16313
10.0,False,2.0,22.0,"",25.0,116.0,8013644482,16313
11.0,False,2.0,92.0,"",130.0,1.0,8013644482,16313
12.0,False,3.0,228.0,"",130.0,6.0,8013644482,16313
13.0,True,3.0,114.0,7.0,25.0,10.0,8013644482,16313
14.0,True,2.0,40.0,2.0,25.0,1.0,8013644482,16313
15.0,True,2.0,42.0,4.0,130.0,2.0,8013644482,16313
16.0,True,3.0,194.0,6.0,124.0,36.0,8013644482,16313
17.0,True,3.0,88.0,8.0,25.0,12.0,8013644482,16313
18.0,True,2.0,28.0,3.0,24.0,31.0,8013644482,16313
19.0,False,2.0,78.0,"",124.0,3.0,8013644482,16313
20.0,False,3.0,98.0,"",124.0,18.0,8013644482,16313
21.0,False,3.0,152.0,"",24.0,12.0,8013644482,16313
22.0,False,2.0,50.0,"",24.0,16.0,8013644482,16313
23.0,True,2.0,104.0,0.0,124.0,11.0,8013644482,16313
24.0,True,3.0,240.0,5.0,106.0,49.0,8013644482,16313
1.0,False,3.0,176.0,"",130.0,142.0,8013650577,17233
2.0,False,3.0,16.0,"",130.0,1.0,8013650577,17233
3.0,False,3.0,42.0,"",7.0,4.0,8013650577,17233
4.0,False,2.0,240.0,"",130.0,1.0,8013650577,17233
5.0,False,3.0,78.0,"",130.0,3.0,8013650577,17233
6.0,False,3.0,38.0,"",7.0,4.0,8013650577,17233
7.0,False,2.0,100.0,"",7.0,1.0,8013650577,17233
8.0,True,2.0,166.0,3.0,130.0,11.0,8013650577,17233
9.0,True,3.0,204.0,9.0,7.0,1.0,8013650577,17233
10.0,False,2.0,220.0,"",7.0,2.0,8013650577,17233
11.0,False,2.0,224.0,"",130.0,1.0,8013650577,17233
12.0,False,3.0,44.0,"",130.0,18.0,8013650577,17233
13.0,True,3.0,214.0,5.0,7.0,3.0,8013650577,17233
14.0,True,2.0,182.0,4.0,7.0,1.0,8013650577,17233
15.0,True,2.0,194.0,1.0,130.0,8.0,8013650577,17233
16.0,True,3.0,76.0,6.0,123.0,37.0,8013650577,17233
17.0,True,3.0,52.0,8.0,7.0,14.0,8013650577,17233
18.0,True,2.0,28.0,0.0,7.0,7.0,8013650577,17233
19.0,False,2.0,18.0,"",123.0,0.0,8013650577,17233
20.0,False,3.0,26.0,"",123.0,7.0,8013650577,17233
